Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61884842,The Deep Sky,Yume Kitasei,"Kitasei, Yume",,"=""1250875331""","=""9781250875334""",0,3.69,Flatiron Books,Hardcover,399,2023,2023,,2024/10/24,to-read,to-read (#81),to-read,,,,0,0
181109993,Evenings and Weekends,Oisín McKenna,"McKenna, Oisín",,"=""0063319977""","=""9780063319974""",0,3.76,Mariner Books,Hardcover,352,2024,2024,,2024/10/20,to-read,to-read (#80),to-read,,,,0,0
195430687,Blue Sisters,Coco Mellors,"Mellors, Coco",,"=""0593723767""","=""9780593723760""",0,3.91,Ballantine Books,Hardcover,352,2024,2024,,2024/10/20,to-read,to-read (#79),to-read,,,,0,0
181037570,"A Paradise of Small Houses: The Evolution, Devolution, and Potential Rebirth of Urban Housing",Max Podemski,"Podemski, Max",,"=""0807007781""","=""9780807007785""",0,4.15,Beacon Press,Hardcover,272,2024,2024,,2024/10/20,to-read,to-read (#78),to-read,,,,0,0
23168277,"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802123457""","=""9780802123459""",0,4.01,Grove Press,Hardcover,384,2015,2015,,2024/08/13,to-read,to-read (#77),to-read,,,,1,0
202468408,Rules for Ghosting,Shelly Jay  Shore,"Shore, Shelly Jay",,"=""0593723945""","=""9780593723944""",0,3.88,Dell,Paperback,387,2024,2024,,2024/10/02,to-read,to-read (#76),to-read,,,,0,0
14891,A Tree Grows in Brooklyn,Betty  Smith,"Smith, Betty",,"=""0061120073""","=""9780061120077""",0,4.30,HarperCollins Publishers,Paperback,496,2006,1943,,2024/10/02,to-read,to-read (#75),to-read,,,,0,0
46161306,Little Blue Encyclopedia (for Vivian),Hazel Jane Plante,"Plante, Hazel Jane",,"=""0994047193""","=""9780994047199""",0,4.23,Metonymy Press,Paperback,200,2019,2019,,2024/10/02,to-read,to-read (#74),to-read,,,,0,0
59808603,The Mountain in the Sea,Ray Nayler,"Nayler, Ray",,"=""0374605955""","=""9780374605957""",0,3.88,MCD,Hardcover,456,2022,2022,,2024/10/02,to-read,to-read (#73),to-read,,,,0,0
41949311,Someone Who Will Love You in All Your Damaged Glory,Raphael Bob-Waksberg,"Bob-Waksberg, Raphael",,"=""""","=""""",0,3.98,Knopf,ebook,256,2019,2019,,2024/10/02,to-read,to-read (#72),to-read,,,,0,0
63886732,Fowl Eulogies,Lucie Rico,"Rico, Lucie",Daria Chernysheva,"=""1642861316""","=""9781642861310""",0,3.52,World Editions,Paperback,240,2023,2020,,2024/10/02,to-read,to-read (#71),to-read,,,,0,0
