Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58303740,"Song of Silver, Flame Like Night (Song of the Last Kingdom, #1)",Amélie Wen Zhao,"Zhao, Amélie Wen",,"=""059365028X""","=""9780593650288""",0,3.76,Delacorte Press,Paperback,512,2023,2023,,2022/12/12,to-read,to-read (#42),to-read,,,,0,0
57789637,"Daughter of the Moon Goddess (The Celestial Kingdom, #1)",Sue Lynn Tan,"Tan, Sue Lynn",Kuri Huang,"=""0063031302""","=""9780063031302""",0,4.06,Harper Voyager,Hardcover,503,2022,2022,,2022/12/12,to-read,to-read (#41),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",4,4.22,"Little, Brown and Company",Hardcover,393,2018,2018,2022/11/12,2022/05/02,,,read,,,,1,0
59729078,I Kissed Shara Wheeler,Casey McQuiston,"McQuiston, Casey",,"=""1250862388""","=""9781250862389""",4,3.84,Macmillan USA,Paperback,320,2022,2022,2022/10/14,2022/04/23,,,read,,,,1,0
56987996,The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,Joanne Lee Molinaro,"Molinaro, Joanne Lee",,"=""0593084276""","=""9780593084274""",0,4.48,Avery,Hardcover,336,2021,2021,,2022/09/27,to-read,to-read (#40),to-read,,,,0,0
31451086,Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body,Kathryne Taylor,"Taylor, Kathryne",,"=""1623367417""","=""9781623367411""",0,4.46,Rodale Books,Hardcover,272,2017,2017,,2022/09/24,to-read,to-read (#39),to-read,,,,0,0
36952615,On a Sunbeam,Tillie Walden,"Walden, Tillie",,"=""1250178134""","=""9781250178138""",0,4.30,First Second,Paperback,533,2018,2018,,2022/09/22,to-read,to-read (#38),to-read,,,,0,0
54860443,One Last Stop,Casey McQuiston,"McQuiston, Casey",,"=""1250244498""","=""9781250244499""",4,3.88,Griffin,Paperback,418,2021,2021,2022/09/13,2022/04/23,,,read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.05,Knopf,Hardcover,259,2022,2022,2022/08/23,2022/08/20,,,read,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",5,4.41,Random House,Kindle Edition,208,2016,2016,2022/08/18,2022/05/18,,,read,,,,1,0
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",4,4.07,Knopf,Hardcover,336,2012,2012,,2022/05/21,,,read,,,,1,0
57933307,"Open: An Uncensored Memoir of Love, Liberation, and Non-Monogamy",Rachel  Krantz,"Krantz, Rachel",,"=""0593139550""","=""9780593139554""",4,3.92,Harmony,Hardcover,352,2022,2022,2022/05/02,2022/02/11,,,read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",3,4.07,Knopf,Hardcover,333,2014,2014,2022/06/27,2022/06/22,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.32,Avery,Kindle Edition,319,2018,2018,2022/06/27,2022/05/05,,,read,,,,1,0
58932375,Knocking Myself Up: A Memoir of My (In)Fertility,Michelle Tea,"Tea, Michelle",,"=""0063210622""","=""9780063210622""",0,3.98,Dey Street Books,Hardcover,294,2022,2022,,2022/06/27,to-read,to-read (#35),to-read,,,,0,0
59249732,Another Appalachia: Coming Up Queer and Indian in a Mountain Place,Neema Avashia,"Avashia, Neema",,"=""1952271428""","=""9781952271427""",0,4.21,West Virginia University Press,Paperback,171,2022,2022,,2022/06/27,to-read,to-read (#34),to-read,,,,0,0
2153780,Hold Me Tight,Sue Johnson,"Johnson, Sue",,"=""031611300X""","=""9780316113007""",0,4.12,"Little, Brown Spark",Hardcover,300,2008,2008,,2022/06/16,to-read,to-read (#33),to-read,,,,0,0
58484070,When You Call My Name,Tucker Shaw,"Shaw, Tucker",,"=""125062486X""","=""9781250624864""",0,4.18,Henry Holt and Co. (BYR),Hardcover,368,2022,2022,,2022/06/12,to-read,to-read (#32),to-read,,,,0,0
98687,Call Me by Your Name,André Aciman,"Aciman, André",,"=""0374299218""","=""9780374299217""",0,4.10,"Farrar, Straus and Giroux",Hardcover,248,2007,2007,,2020/07/18,,,read,,,,1,0
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",0,4.07,Penguin Press,Hardcover,338,2017,2017,,2020/04/24,,,read,,,,1,0
595375,Annie on My Mind,Nancy Garden,"Garden, Nancy",,"=""0374404143""","=""9780374404147""",0,4.02,"Farrar, Straus and Giroux (BYR)",Mass Market Paperback,234,1992,1982,,2014/04/14,,,read,,,,1,0
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"Machado, Carmen Maria",,"=""155597788X""","=""9781555977887""",0,3.80,Graywolf Press,Paperback,248,2017,2017,2022/06/11,2021/12/12,,,read,,,,1,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.96,Random House,Paperback,321,1997,1997,,2020/04/25,to-read,to-read (#31),to-read,,,,0,0
41823056,Liminal Dreaming: Exploring Consciousness at the Edges of Sleep,Jennifer Dumpert,"Dumpert, Jennifer",,"=""1623173043""","=""9781623173043""",0,3.95,North Atlantic Books,Paperback,248,2019,,,2022/06/11,to-read,to-read (#27),to-read,,,,0,0
13225387,Wired for Love: How Understanding Your Partner's Brain and Attachment Style Can Help You Defuse Conflict and Build a Secure Relationship,Stan Tatkin,"Tatkin, Stan",Harville Hendrix,"=""1608820580""","=""9781608820580""",0,4.09,New Harbinger Publications,Paperback,200,2012,2012,,2022/06/06,to-read,to-read (#26),to-read,,,,0,0
52514416,Tomorrow Sex Will Be Good Again: Women and Desire in the Age of Consent,Katherine Angel,"Angel, Katherine",,"=""""","=""""",0,4.06,Verso,Hardcover,160,2021,2021,,2022/06/06,to-read,to-read (#25),to-read,,,,0,0
57933306,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",0,4.22,Crown,Hardcover,357,2022,2022,,2022/06/02,to-read,to-read (#24),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",1,4.09,Berkley Books,Paperback,400,2021,2021,,2022/01/27,,,read,,,,1,0
55119872,Black Water Sister,Zen Cho,"Cho, Zen",,"=""0425283437""","=""9780425283431""",0,3.83,Ace,Paperback,371,2021,2021,,2022/05/05,to-read,to-read (#23),to-read,,,,0,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.27,Knopf,ebook,368,2019,2019,,2022/05/02,to-read,to-read (#22),to-read,,,,0,0
17601,"The Will to Change: Men, Masculinity, and Love",bell hooks,"hooks, bell",,"=""0743456084""","=""9780743456081""",0,4.35,Washington Square Press,Paperback,208,2004,2003,,2022/05/01,to-read,to-read (#21),to-read,,,,0,0
71730,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,"Rosenberg, Marshall B.",Arun Gandhi,"=""1892005034""","=""9781892005038""",0,4.33,Puddledancer Press,Paperback,220,2003,1999,,2022/04/07,to-read,to-read (#20),to-read,,,,0,0
33022718,Nasty Women,Laura  Jones,"Jones, Laura","L.R.  Lam, Ren Aldridge, Nadine Aisha Jassat, Sasha De Buyl-Pisco, Elise Hines, Alice Tarbuck, Jonatha Kottler, Chitra Ramaswamy, Christina Neuwirth, Belle Owen, Zeba Talkhani, Kate Muriel, Joelle A. Owusu, Kaite Welsh, Claire L. Heuchan, Jen McGregor, Mel Reeve, Sim Bajwa, Becca Inglis, Rowan C. Clarke, Kristy Diaz, Laura  Waddell, Laura Lam","=""0995623821""","=""9780995623828""",0,4.12,404 Ink,Paperback,240,2017,2017,,2022/04/05,to-read,to-read (#19),to-read,,,,0,0
28818921,Difficult Women,Roxane Gay,"Gay, Roxane",,"=""0802125395""","=""9780802125392""",0,3.95,Grove Press,Hardcover,260,2017,2017,,2022/04/05,to-read,to-read (#18),to-read,,,,0,0
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",0,4.18,Vintage,Paperback,746,1989,1949,,2022/03/31,to-read,to-read (#17),to-read,,,,0,0
36613747,How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,"Pollan, Michael",,"=""0241294223""","=""9780241294222""",0,4.27,ALLEN LANE,Hardcover,480,2018,2018,,2022/03/31,to-read,to-read (#16),to-read,,,,0,0
40539136,Lie With Me,Philippe Besson,"Besson, Philippe",Molly Ringwald,"=""1501197878""","=""9781501197871""",0,4.26,Scribner,Hardcover,149,2019,2017,,2022/03/21,to-read,to-read (#15),to-read,,,,0,0
53330118,"Chatter: The Voice in Our Head, Why It Matters, and How to Harness It",Ethan Kross,"Kross, Ethan",,"=""0525575235""","=""9780525575238""",5,3.96,Crown Publishing Group,Hardcover,272,2021,2021,2022/03/18,2022/03/04,,,read,,,,1,0
3591262,Cutting for Stone,Abraham   Verghese,"Verghese, Abraham",,"=""0375414495""","=""9780375414497""",5,4.34,Alfred A. Knopf,Hardcover,560,2009,2009,2022/03/16,2020/08/21,,,read,,,,1,0
161121,My Own Country: A Doctor's Story,Abraham   Verghese,"Verghese, Abraham",,"=""0679752927""","=""9780679752929""",0,4.23,Vintage,Paperback,432,1995,1994,,2022/03/12,to-read,to-read (#14),to-read,,,,0,0
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",0,4.37,Harper,Hardcover,415,2019,2019,,2022/03/06,to-read,to-read (#13),to-read,,,,0,0
26166862,"You Had Me at ""Hello, World"": Mentoring Sessions with Industry Leaders at Microsoft, Facebook, Google, Amazon, Zynga and more!",Dona Sarkar,"Sarkar, Dona",,"=""0996731105""","=""9780996731102""",0,4.04,Quill and Pen Publishing,Kindle Edition,148,2015,2015,,2022/03/06,to-read,to-read (#12),to-read,,,,0,0
35082451,All the Names They Used for God,Anjali Sachdeva,"Sachdeva, Anjali",,"=""0399593004""","=""9780399593000""",0,4.02,The Dial Press,Hardcover,259,2018,2018,,2022/03/05,to-read,to-read (#11),to-read,,,,0,0
7815,The Year of Magical Thinking,Joan Didion,"Didion, Joan",,"=""1400078431""","=""9781400078431""",0,3.93,Vintage,Paperback,227,2007,2005,,2022/02/12,to-read,to-read (#10),to-read,,,,0,0
31434883,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0735220689""","=""9780735220683""",0,4.23,Pamela Dorman Books / Viking,Hardcover,336,2017,2017,,2021/12/20,to-read,to-read (#9),to-read,,,,0,0
29283884,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,"Lee, Mackenzi",,"=""0062382802""","=""9780062382801""",4,4.02,Katherine Tegen Books,Hardcover,501,2017,2017,2021/12/20,2021/07/18,,,read,,,,1,0
52346471,"Firekeeper’s Daughter (Firekeeper's Daughter, #1)",Angeline Boulley,"Boulley, Angeline",,"=""""","=""""",4,4.30,"Henry, Holt and Co. (BYR)",Hardcover,496,2021,2021,2021/09/25,2021/08/17,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",3,4.08,Tor Books,Hardcover,472,2014,2006,2021/07/18,2021/06/14,,,read,,,,1,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""1250316774""","=""9781250316776""",3,4.05,St. Martin's Griffin,Paperback,443,2019,2019,2021/05/25,2021/07/18,,,read,,,,2,0
44564172,The Female Persuasion,Meg Wolitzer,"Wolitzer, Meg",,"=""0399573232""","=""9780399573231""",1,3.56,Riverhead Books,Paperback,480,2019,2018,2021/06/23,2021/06/30,,,read,,,,1,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",4,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,2021/06/06,2020/07/18,,,read,,,,1,0
12557,The Kitchen God's Wife,Amy Tan,"Tan, Amy",,"=""0143038109""","=""9780143038108""",4,4.04,Penguin Books,Paperback,416,2006,1991,2021/05/28,2021/03/28,,,read,,,,1,0
36412998,The Stars and the Blackness Between Them,Junauda Petrus,"Petrus, Junauda",,"=""052555548X""","=""9780525555483""",0,4.24,Dutton Books for Young Readers,Hardcover,312,2019,2019,,2021/05/19,to-read,to-read (#8),to-read,,,,0,0
50266871,Hani and Ishu’s Guide to Fake Dating,Adiba Jaigirdar,"Jaigirdar, Adiba",,"=""""","=""""",0,4.07,Page Street Kids,Kindle Edition,352,2021,2021,,2021/05/19,to-read,to-read (#7),to-read,,,,0,0
52892857,The Color Purple,Alice Walker,"Walker, Alice",,"=""0143135694""","=""9780143135692""",0,4.28,Penguin Books,Paperback,287,2019,1982,,2021/05/19,to-read,to-read (#6),to-read,,,,0,0
38457,Just Above My Head,James Baldwin,"Baldwin, James",,"=""0385334567""","=""9780385334563""",0,4.44,Delta,Paperback,584,2000,1979,,2021/04/05,to-read,to-read (#5),to-read,,,,0,0
366441,The Evidence of Things Not Seen,James Baldwin,"Baldwin, James",,"=""1568495757""","=""9781568495750""",0,4.06,Buccaneer Books,Hardcover,125,1998,1985,,2021/03/30,to-read,to-read (#4),to-read,,,,0,0
38463,If Beale Street Could Talk (Vintage International),James Baldwin,"Baldwin, James",,"=""0307275930""","=""9780307275936""",5,4.27,Vintage,Paperback,197,2006,1974,2021/03/27,2021/02/25,,,read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",2,4.27,Doubleday,Hardcover,720,2015,2015,,2020/08/21,,,read,,,,1,0
2865,Girl with a Pearl Earring,Tracy Chevalier,"Chevalier, Tracy",,"=""0452287022""","=""9780452287020""",3,3.93,Plume/Penguin,Paperback,233,2005,1999,,2020/11/22,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2020/08/05,2020/08/08,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,2020/07/29,2020/07/29,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",4,4.50,Scholastic Inc.,Paperback,870,2004,2003,2020/07/26,2020/07/27,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,2020/07/17,2020/07/22,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",4,4.57,Scholastic,Paperback,734,2002,2000,2020/07/22,2020/07/22,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,2020/07/10,2020/07/22,,,read,,,,1,0
8086216,Plenty,Yotam Ottolenghi,"Ottolenghi, Yotam",,"=""0091933684""","=""9780091933685""",0,4.13,"Ebury Publishing, Random House",Hardcover,288,2010,2010,,2020/07/22,to-read,to-read (#3),to-read,,,,0,0
9658159,Once Upon a River,Bonnie Jo Campbell,"Campbell, Bonnie Jo",,"=""0393079899""","=""9780393079890""",4,3.72,"W. W. Norton & Company, Inc.",Hardcover,348,2011,2011,2019/09/20,2020/07/18,,,read,,,,1,0
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",5,4.04,Picador USA,Paperback,529,2002,2002,2020/07/18,2020/07/13,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.98,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2020/07/01,2020/04/24,,,read,,,,1,0
7048800,The Particular Sadness of Lemon Cake,Aimee Bender,"Bender, Aimee",,"=""0385501129""","=""9780385501125""",3,3.25,Knopf Doubleday Publishing Group,Hardcover,292,2010,2010,,2020/07/01,,,read,,,,1,0
41081373,"Girl, Woman, Other",Bernardine Evaristo,"Evaristo, Bernardine",,"=""0241364906""","=""9780241364901""",3,4.26,Hamish Hamilton,Kindle Edition,453,2019,2019,,2020/04/24,,,read,,,,2,0
33917,The Namesake,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0618485228""","=""9780618485222""",4,4.02,Mariner,Paperback,304,2003,2003,2020/03/20,2020/04/24,,,read,,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",4,4.46,Random House,Hardcover,352,2018,2018,,2020/05/01,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",4,3.93,Scribner,Paperback,180,2025,1925,,2020/04/25,,,read,,,,1,0
6798263,Bluets,Maggie Nelson,"Nelson, Maggie",,"=""1933517409""","=""9781933517407""",0,4.04,Wave Books,Paperback,112,2009,2009,,2020/04/24,to-read,to-read (#2),to-read,,,,0,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,"=""0553383809""","=""9780553383805""",0,4.30,Dial Press Trade Paperback,Paperback,448,2005,1982,,2020/04/24,to-read,to-read (#1),to-read,,,,0,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",4,4.24,MTV Books/Pocket Books,Hardcover,213,1999,1999,,2014/03/31,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",4,4.12,Ember,Paperback,208,2006,1993,,2014/03/31,,,read,,,,1,0
